Desa/Kelurahan,Kode Wilayah,Kecamatan,Jumlah Penduduk,Belum/Tidak Bekerja,Mengurus Rumah Tangga,Pelajar/Mahasiswa,Pegawai Negeri Sipil,Petani/ Pekebun,Karyawan Swasta,Buruh Harian Lepas,Buruh Tani/Perkebunan,Pedagang,Wiraswasta
Teras,3309072008,Teras,6686,1244,785,1272,88,51,1553,457,336,97,407
Randusari,3309072009,Teras,8769,1584,777,1777,140,334,2477,197,233,129,544
Mojolegi,3309072010,Teras,3947,644,425,807,53,78,880,388,77,57,296
Gumukrejo,3309072011,Teras,2712,518,287,469,24,27,720,252,134,39,69
Tawangsari,3309072012,Teras,3431,644,260,653,32,135,808,483,92,50,92
Krasak,3309072013,Teras,2791,453,258,549,26,343,734,69,90,28,120
Kateguhan,3309082001,Sawit,3433,568,415,681,37,42,734,246,174,131,192
Manjung,3309082002,Sawit,2430,360,362,480,34,31,600,232,126,39,77
Gombang,3309082003,Sawit,2404,377,286,445,23,27,478,181,52,63,319
Tegalrejo,3309082004,Sawit,3098,530,339,592,30,22,606,480,78,79,214
Tlawong,3309082005,Sawit,2491,418,231,439,24,93,537,166,193,89,163
Jenengan,3309082006,Sawit,2974,499,209,569,36,46,722,343,109,58,295
Cepokosawit,3309082007,Sawit,2002,296,235,392,26,40,466,75,133,76,140
Kemasan,3309082008,Sawit,3058,473,399,600,34,25,567,104,132,39,554
Jatirejo,3309082009,Sawit,2778,441,319,519,29,58,662,188,128,99,159
Bendosari,3309082010,Sawit,2613,375,348,518,44,22,589,243,117,24,148
Karangduren,3309082011,Sawit,2821,417,322,584,56,12,566,238,86,27,339
Guwokajen,3309082012,Sawit,2979,457,279,573,38,30,702,356,231,39,149
Dukuh,3309092001,Banyudono,3856,770,293,696,68,36,747,564,70,70,317
Jipangan,3309092002,Banyudono,2784,514,220,448,45,70,653,335,128,33,197
Jembungan,3309092003,Banyudono,4255,665,330,819,66,65,948,497,126,86,395
Sambon,3309092004,Banyudono,4085,764,305,778,61,63,1143,375,53,53,266
Kuwiran,3309092005,Banyudono,3803,617,438,767,84,31,847,325,54,52,347
Cangkringan,3309092006,Banyudono,2353,431,239,449,33,46,665,131,45,39,109
Ngaru Aru,3309092007,Banyudono,4193,681,447,870,108,47,934,303,35,36,408
Bendan,3309092008,Banyudono,5222,911,330,1065,92,33,1067,272,17,226,938
Ketaon,3309092009,Banyudono,4359,782,409,801,92,66,1059,296,92,82,424
Banyudono,3309092010,Banyudono,4052,717,356,761,62,20,1080,489,26,69,289
Batan,3309092011,Banyudono,2934,552,308,507,41,18,805,188,32,28,328
Denggungan,3309092012,Banyudono,4090,792,432,762,27,37,884,273,133,91,504
Bangak,3309092013,Banyudono,3333,663,390,614,38,53,724,363,49,49,253
Trayu,3309092014,Banyudono,2682,501,244,481,37,60,653,184,153,49,203
Tanjungsari,3309092015,Banyudono,2263,349,256,437,53,38,460,284,123,24,93
Canden,3309102001,Sambi,5727,1182,428,1060,28,136,1355,549,250,126,462
Senting,3309102002,Sambi,3286,666,510,673,27,148,612,153,110,78,196
Tempursari,3309102003,Sambi,3589,695,238,684,50,70,918,207,363,64,154
Jatisari,3309102004,Sambi,2531,503,248,480,35,98,664,177,183,16,44
Glintang,3309102005,Sambi,2724,507,266,492,20,134,727,116,260,24,89
Catur,3309102006,Sambi,2084,353,176,395,49,301,462,67,53,25,57
Tawengan,3309102007,Sambi,2307,441,223,439,40,151,489,258,99,8,51
Sambi,3309102008,Sambi,5014,942,408,1048,71,160,1033,392,169,86,437
Demangan,3309102009,Sambi,3123,569,282,622,21,328,577,84,150,73,245
Kepoh,3309102010,Sambi,2679,530,342,481,12,86,577,386,55,29,75
Jagoan,3309102011,Sambi,4134,725,203,760,26,352,1155,325,406,20,60
Babadan,3309102012,Sambi,3160,581,390,599,60,269,621,199,89,44,153
Ngaglik,3309102013,Sambi,2072,424,201,346,10,332,482,31,112,21,33
Trosobo,3309102014,Sambi,2485,462,149,461,32,326,578,181,118,10,73
Cermo,3309102015,Sambi,2340,458,268,401,17,225,418,158,258,12,53
Nglembu,3309102016,Sambi,2180,361,220,427,71,253,448,38,83,11,133
Ngargorejo,3309112001,Ngemplak,3794,735,342,669,26,44,849,314,160,237,211
Sobokerto,3309112002,Ngemplak,7583,1725,773,1330,50,125,1116,895,153,106,1038
Ngesrep,3309112003,Ngemplak,7041,1273,1018,1466,131,37,1252,530,34,119,590
Gagaksipat,3309112004,Ngemplak,10181,2065,1260,1902,165,20,2492,731,25,233,644
Donohudan,3309112005,Ngemplak,7982,1602,543,1609,136,37,1759,488,24,95,1332
Sawahan,3309112006,Ngemplak,11904,2545,1554,2444,161,38,2427,1031,31,121,927
