Desa/Kelurahan,Kode Wilayah,Kecamatan,Jumlah Penduduk,Belum/Tidak Bekerja,Mengurus Rumah Tangga,Pelajar/Mahasiswa,Pegawai Negeri Sipil,Petani/ Pekebun,Karyawan Swasta,Buruh Harian Lepas,Buruh Tani/Perkebunan,Pedagang,Wiraswasta,cluster,Cluster,Principal Component 1,Principal Component 2,Cluster
Kacangan,3309162008,Andong,4807,929,622,897,69,326,820,87,50,26,769,1,0,0.07229069249452835,0.13011894481124137,0
Andong,3309162009,Andong,5116,939,546,959,49,394,631,104,141,45,1120,1,0,0.07929809555814527,0.14553258352967385,0
Munggur,3309162010,Andong,2268,416,313,392,7,255,373,28,78,7,344,1,0,-0.10471600651068158,-0.2615746888722291,0
Pakang,3309162011,Andong,2065,359,148,358,15,86,232,52,397,10,363,1,0,-0.11256935738043372,-0.4057910039375588,0
Pranggong,3309162012,Andong,2471,435,210,422,22,387,522,26,238,5,142,1,0,-0.11473273282155716,-0.27969719480500127,0
Kunti,3309162013,Andong,2842,460,427,576,18,179,695,63,245,8,121,1,0,-0.05014423875866458,-0.22354257434955488,0
Pelemrejo,3309162014,Andong,2567,452,196,455,17,113,602,17,402,4,216,1,0,-0.08053193742167575,-0.33188382554999296,0
Semawung,3309162015,Andong,2509,424,521,433,5,236,517,21,43,14,228,1,0,-0.07207492476244304,-0.20784473558707722,0
Kadipaten,3309162016,Andong,6153,1027,456,1164,19,194,1042,55,602,29,1397,2,2,1.0485687739705318,-0.17438770000783727,2
Watugede,3309172001,Kemusu,2720,917,194,155,4,424,397,34,297,3,247,1,0,-0.10498439753262434,-0.26484391692105613,0
Kedungrejo,3309172002,Kemusu,1786,513,167,125,4,121,173,32,366,2,245,1,0,-0.13483195442112939,-0.43900478401726517,0
Sarimulyo,3309172003,Kemusu,1922,648,212,118,7,302,197,50,131,3,184,1,0,-0.14091335719603848,-0.33465087989883946,0
Klewor,3309172004,Kemusu,2842,856,373,224,19,129,500,23,93,4,433,1,0,-0.05383699524825403,-0.2003208876487539,0
Bawu,3309172005,Kemusu,4974,1732,627,316,3,535,521,154,576,18,348,1,0,0.04632641055241837,-0.0220407238941997,0
Kendel,3309172006,Kemusu,5888,2009,370,438,11,716,1071,44,948,7,209,1,0,0.07173803556807945,0.012271720606889913,0
Kemusu,3309172010,Kemusu,4878,1639,590,333,9,668,768,166,150,22,406,1,0,0.035268102093998,0.11398086977613592,0
Genengsari,3309172011,Kemusu,4389,1339,752,415,24,313,621,367,134,15,207,1,0,0.04784966753323516,0.018742745353320045,0
Kedungmulyo,3309172012,Kemusu,3642,1178,543,270,9,558,442,141,165,6,217,1,0,-0.042314248280901134,-0.08481872233239102,0
Wonoharjo,3309172013,Kemusu,3028,997,409,206,13,526,416,34,123,2,194,1,0,-0.08509741814861194,-0.1596477801758323,0
Karangjati,3309182002,Wonosegoro,6036,1333,625,978,30,642,1284,131,216,43,543,2,2,1.0134402375114513,-0.030212556986727812,2
Ketoyan,3309182003,Wonosegoro,3519,779,310,533,35,394,626,43,109,10,522,1,0,-0.04214304624571197,-0.08975795858922919,0
Bolo,3309182004,Wonosegoro,3331,804,272,440,4,535,465,38,82,19,617,1,0,-0.06838010661773719,-0.09601446922842094,0
Banyusri,3309182005,Wonosegoro,3758,829,343,498,4,525,821,87,150,15,387,1,0,-0.03718668195832797,-0.06164600079029148,0
Gosono,3309182006,Wonosegoro,2115,421,226,320,6,461,392,30,76,9,125,1,0,-0.14282507078257656,-0.27612280736419637,0
Wonosegoro,3309182007,Wonosegoro,3148,610,349,570,42,257,661,47,97,33,328,1,0,-0.03876340466632744,-0.12724188434851164,0
Bandung,3309182008,Wonosegoro,3147,730,270,498,15,569,497,42,73,4,372,1,0,-0.08792896479351775,-0.12103483470668791,0
Bojong,3309182014,Wonosegoro,4183,794,417,620,1,870,678,67,240,2,447,1,0,-0.05417685069695222,-0.021858295720407706,0
Kauman,3309182019,Wonosegoro,4594,1367,323,343,7,426,618,102,200,40,1033,1,0,0.03012461773807229,0.0387687126065282,0
Lemahireng,3309182020,Wonosegoro,3301,1013,484,266,4,147,384,249,464,7,214,1,0,-0.022380906461952454,-0.2503503674147478,0
Guwo,3309182021,Wonosegoro,3639,1087,461,372,13,304,464,43,394,7,396,1,0,-0.019125410113669528,-0.16166075307610756,0
Sambeng,3309191006,Juwangi,2677,832,550,132,1,336,197,202,254,5,130,1,0,-0.0796199437887335,-0.26605202961544977,0
Krobokan,3309192001,Juwangi,3150,1053,700,141,5,484,147,85,283,3,202,1,0,-0.05996025577767217,-0.19338133818400283,0
Ngaren,3309192002,Juwangi,2519,901,607,93,1,384,111,83,59,5,210,1,0,-0.08970175686250736,-0.21652802800647558,0
Kalimati,3309192003,Juwangi,4199,1328,723,233,9,166,139,237,831,2,418,1,0,0.031412551061655414,-0.25148602397533754,0
Kayen,3309192004,Juwangi,4224,1337,959,206,12,356,379,257,362,5,265,1,0,0.03795698642661427,-0.07438076064347077,0
Jerukan,3309192005,Juwangi,3104,974,667,199,8,156,202,380,215,10,176,1,0,-0.02569094218124146,-0.20807036918248945,0
Pilangrejo,3309192007,Juwangi,4425,1312,1093,409,16,83,427,278,237,17,306,1,0,0.0894212082635637,-0.016982146020112887,0
Cerme,3309192008,Juwangi,1532,319,286,183,9,52,69,239,168,12,130,1,0,-0.13332113476009078,-0.420826552788962,0
Juwangi,3309192009,Juwangi,5801,1604,1107,624,57,212,508,318,126,68,806,2,2,1.069731699510969,-0.06888411398686184,2
Ngleses,3309192010,Juwangi,4821,1476,657,358,14,403,675,103,766,20,247,1,0,0.05426155575242353,-0.10350462833771462,0
Seboto,3309202001,Gladagsari,5023,742,452,958,11,1452,815,144,99,23,160,0,1,-0.9616430726798696,0.4665268757515268,1
Kaligentong,3309202002,Gladagsari,6332,1077,822,1260,73,491,1144,493,105,74,457,2,2,1.0633650367100336,0.032356457140008954,2
Gladagsari,3309202003,Gladagsari,3888,572,463,832,45,289,676,250,65,68,370,1,0,0.013713990613325233,-0.013561408607173642,0
Kembang,3309202004,Gladagsari,6219,1092,582,1151,28,1516,1118,136,100,36,348,0,1,-0.8726914657903007,0.6692150853962973,1
Ngagrong,3309202005,Gladagsari,3898,523,160,701,8,1823,388,39,31,15,123,0,1,-1.097066220078893,0.33196520481819386,1
Candisari,3309202006,Gladagsari,2530,431,123,447,9,926,357,28,37,6,118,0,1,-1.0747568394609563,0.11084186041969296,1
Ngargoloko,3309202007,Gladagsari,1718,248,75,276,2,797,264,15,5,0,17,0,1,-1.1148321386708604,-0.005014934402583715,1
Sampetan,3309202008,Gladagsari,6625,1068,632,1322,15,1658,1048,288,112,32,259,0,1,-0.870290541575088,0.7082737780193067,1
Ngadirojo,3309202009,Gladagsari,5162,839,502,990,20,936,1153,260,139,26,163,0,1,-0.8790345455914257,0.4683342004942031,1
Jlarem,3309202010,Gladagsari,3098,486,169,544,17,830,617,49,246,8,82,0,1,-1.0247994255008313,0.12475935080972078,1
Lampar,3309212001,Tamansari,3517,677,249,511,11,1044,355,73,130,7,373,0,1,-1.0239951733547037,0.21755284735996333,1
Dragan,3309212002,Tamansari,2326,418,415,392,9,426,228,19,45,6,305,1,0,-0.11830606215424866,-0.23829905668264667,0
Karanganyar,3309212003,Tamansari,3380,639,365,524,15,958,339,53,41,10,343,0,1,-1.0131065103361605,0.23099105734297337,1
Jemowo,3309212004,Tamansari,5651,987,377,896,26,1863,695,61,153,15,433,0,1,-0.9788000532726933,0.5486126314076787,1
Sumur,3309212005,Tamansari,2272,313,77,352,11,861,289,18,35,8,215,0,1,-1.090154403439047,0.058872757221406946,1
Sangup,3309212006,Tamansari,2695,527,116,341,3,1407,157,21,25,4,64,0,1,-1.126048351617895,0.1467348062220752,1
Mriyan,3309212007,Tamansari,2329,476,386,309,0,652,228,24,149,10,66,1,0,-0.14639657506069526,-0.2615450394026627,0
Lanjaran,3309212008,Tamansari,1959,315,45,283,2,819,262,7,2,2,168,0,1,-1.1055996221867608,0.02562646223983145,1
Karang Kendal,3309212009,Tamansari,2688,522,106,423,21,728,603,16,90,6,113,0,1,-1.0386227254579343,0.11454565387152643,1
Keposong,3309212010,Tamansari,4022,643,309,712,12,981,429,69,190,45,471,0,1,-0.975276782166236,0.28040748553690464,1
Ngablak,3309222001,Wonosamodro,2640,575,161,362,8,580,421,78,125,8,278,1,0,-0.12817325137092828,-0.2171080129108559,0
Kedungpilang,3309222002,Wonosamodro,2332,485,187,421,3,501,353,27,92,3,210,1,0,-0.13818979887195681,-0.2491821290319533,0
Kalinanas,3309222003,Wonosamodro,2734,498,119,380,10,1010,396,87,65,1,134,0,1,-1.073647078532327,0.1257045325676654,1
Gilirejo,3309222004,Wonosamodro,2066,400,128,305,6,639,335,45,82,0,94,0,1,-1.070802064354589,0.016495092130022038,1
Jatilawang,3309222005,Wonosamodro,3131,646,305,381,1,971,346,94,99,1,246,0,1,-1.035542028859394,0.17007709946675537,1
Garangan,3309222006,Wonosamodro,3655,771,241,509,18,943,448,32,64,5,576,0,1,-0.9980639186623137,0.26484844652005185,1
Bercak,3309222007,Wonosamodro,1909,391,125,244,1,544,198,16,43,3,313,0,1,-1.070113928905017,0.0009243581425554259,1
Bengle,3309222008,Wonosamodro,4756,922,406,687,4,1468,674,119,111,0,329,0,1,-0.9836663025440235,0.4231831621086723,1
Gunungsari,3309222009,Wonosamodro,3440,645,200,476,6,1367,366,97,23,3,211,0,1,-1.0681892240680644,0.2511585676444654,1
Repaking,3309222010,Wonosamodro,5849,1114,558,863,21,1520,1064,151,138,15,261,0,1,-0.908640226403511,0.5775014225969999,1
